# Le message WeChat (story 4b.7) : les échanges de chaque dialogue, dans l'ordre.
#
# Source : rédigé pour l'app, sans API ; à relire. Des phrases courtes, qui ne
# s'écrivent qu'avec les caractères que les parcours posent (`wenlu check`).
#
# Conventions de pinyin, celles des fiches (`pinyin.py`) : tons du dictionnaire,
# sans sandhi (一 s'écrit yī, 不 bù), un mot d'un seul tenant, ponctuation latine.
# Chaque caractère doit se lire par l'une de ses lectures ; `wenlu check` aligne, et
# l'export en tire le pinyin de chaque caractère, que l'app montre au toucher.
#
# Format : TSV, `#` en commentaire, sept colonnes séparées par une tabulation :
# `dialogue` (l'`id` de `dialogues.tsv`), `role`, `zh`, `pinyin`, `fr`, `en`, `erreur`.
#
# Un échange commence par un message de l'ami (`ami`), suivi d'une bonne réplique
# (`juste`) et de deux ou trois mauvaises (`faux`) : trois ou quatre répliques. Une
# mauvaise réplique dit ce qui cloche (`erreur`) : `hors-sujet` (elle parle d'autre
# chose) ou `contresens` (elle lit mal le message : 今天 pour 明天, 茶 pour 菜, un
# « oui » qui contredit). Un dialogue a de deux à quatre échanges ; un dernier message
# de l'ami (`fin`), sans réplique, peut le clore.
dialogue	role	zh	pinyin	fr	en	erreur
shuiguo	faux	明天有雨。	Míngtiān yǒu yǔ.	Il pleuvra demain.	It'll rain tomorrow.	hors-sujet
shuiguo	fin	谢谢！明天给我。	Xièxie! Míngtiān gěi wǒ.	Merci ! Tu me les donneras demain.	Thanks! Give it to me tomorrow.	
chengli	ami	你在城里吗？	Nǐ zài chéng lǐ ma?	Tu es en ville ?	Are you in town?	
chengli	juste	在，我在商店买东西。	Zài, wǒ zài shāngdiàn mǎi dōngxi.	Oui, je fais des courses au magasin.	Yes, I'm shopping.	
chengli	faux	在，我在山上。	Zài, wǒ zài shān shàng.	Oui, je suis à la montagne.	Yes, I'm up the mountain.	contresens
chengli	faux	我喜欢画画。	Wǒ xǐhuan huà huà.	J'aime dessiner.	I like drawing.	hors-sujet
chengli	ami	你能给我买一个杯子吗？	Nǐ néng gěi wǒ mǎi yī ge bēizi ma?	Tu peux m'acheter une tasse ?	Can you buy me a cup?	
chengli	juste	能，要什么样的？	Néng, yào shénme yàng de?	Oui, tu la veux comment ?	Sure, what kind?	
chengli	faux	能，要几本？	Néng, yào jǐ běn?	Oui, combien de livres ?	Sure, how many books?	contresens
chengli	faux	冬天很冷。	Dōngtiān hěn lěng.	L'hiver, il fait très froid.	It's very cold in winter.	hors-sujet
chengli	ami	白的，不要太大。	Bái de, bù yào tài dà.	Une blanche, pas trop grande.	A white one, not too big.	
chengli	juste	好，一个白的小杯子。	Hǎo, yī ge bái de xiǎo bēizi.	D'accord, une petite tasse blanche.	OK, a small white cup.	
chengli	faux	好，一个大的红杯子。	Hǎo, yī ge dà de hóng bēizi.	D'accord, une grande tasse rouge.	OK, a big red cup.	contresens
chengli	faux	我会用筷子。	Wǒ huì yòng kuàizi.	Je sais me servir des baguettes.	I can use chopsticks.	hors-sujet
zhaoshu	ami	我在找我的书。	Wǒ zài zhǎo wǒ de shū.	Je cherche mon livre.	I'm looking for my book.	
zhaoshu	juste	什么书？	Shénme shū?	Quel livre ?	Which book?	
zhaoshu	faux	你在看书？	Nǐ zài kàn shū?	Tu lis ?	You're reading?	contresens
zhaoshu	faux	我也饿了。	Wǒ yě è le.	Moi aussi, j'ai faim.	I'm hungry too.	hors-sujet
zhaoshu	ami	汉语书，是新的。	Hànyǔ shū, shì xīn de.	Mon livre de chinois, le neuf.	My Chinese book, the new one.	
zhaoshu	juste	在你的桌子上？	Zài nǐ de zhuōzi shàng?	Sur ton bureau ?	On your desk?	
zhaoshu	faux	老的？	Lǎo de?	Le vieux ?	The old one?	contresens
zhaoshu	faux	七点见！	Qī diǎn jiàn!	À sept heures !	See you at seven!	hors-sujet
zhaoshu	ami	对！在桌子上！谢谢！	Duì! Zài zhuōzi shàng! Xièxie!	Oui ! Sur le bureau ! Merci !	Yes! On the desk! Thanks!	
zhaoshu	juste	不客气！	Bù kèqi!	De rien !	You're welcome!	
zhaoshu	faux	对不起！	Duìbuqǐ!	Pardon !	Sorry!	contresens
zhaoshu	faux	考汉语。	Kǎo Hànyǔ.	Un examen de chinois.	A Chinese exam.	hors-sujet
changge	ami	晚上我们去唱歌，你来吗？	Wǎnshang wǒmen qù chànggē, nǐ lái ma?	Ce soir, on va chanter, tu viens ?	We're going singing tonight, coming?	
changge	juste	来！我很喜欢唱歌。	Lái! Wǒ hěn xǐhuan chànggē.	Je viens ! J'adore chanter.	I'm in! I love singing.	
changge	faux	来！我很喜欢看电影。	Lái! Wǒ hěn xǐhuan kàn diànyǐng.	Je viens ! J'adore le cinéma.	I'm in! I love films.	contresens
changge	faux	他是医生。	Tā shì yīshēng.	Il est médecin.	He's a doctor.	hors-sujet
changge	ami	八点，学校东门见。	Bā diǎn, xuéxiào dōngmén jiàn.	À huit heures, à la porte est de l'école.	Eight o'clock, at the school's east gate.	
changge	juste	好，八点东门见！	Hǎo, bā diǎn dōngmén jiàn!	D'accord, à huit heures à la porte est !	OK, eight at the east gate!	
changge	faux	好，八点西门见！	Hǎo, bā diǎn xīmén jiàn!	D'accord, à huit heures à la porte ouest !	OK, eight at the west gate!	contresens
changge	faux	他还在工作。	Tā hái zài gōngzuò.	Il travaille encore.	He's still working.	hors-sujet
yiqi	ami	明天我去看电影，一起去吗？	Míngtiān wǒ qù kàn diànyǐng, yīqǐ qù ma?	Demain, je vais voir un film, tu viens avec moi ?	I'm seeing a film tomorrow, want to come along?	
yiqi	juste	好！几点？	Hǎo! Jǐ diǎn?	Oui ! À quelle heure ?	Sure! What time?	
yiqi	faux	你看过这本书？	Nǐ kànguo zhè běn shū?	Tu as lu ce livre ?	Have you read this book?	contresens
yiqi	faux	牛奶和鸡蛋。	Niúnǎi hé jīdàn.	Du lait et des œufs.	Milk and eggs.	hors-sujet
yiqi	ami	晚上七点，我在电影院门口等你。	Wǎnshang qī diǎn, wǒ zài diànyǐngyuàn ménkǒu děng nǐ.	À sept heures du soir, je t'attends devant le cinéma.	Seven in the evening, I'll wait for you outside the cinema.	
yiqi	juste	好，七点见！	Hǎo, qī diǎn jiàn!	D'accord, à sept heures !	OK, see you at seven!	
yiqi	faux	好，上午七点见！	Hǎo, shàngwǔ qī diǎn jiàn!	D'accord, à sept heures du matin !	OK, see you at seven in the morning!	contresens
yiqi	faux	我在医院。	Wǒ zài yīyuàn.	Je suis à l'hôpital.	I'm at the hospital.	hors-sujet
yiqi	fin	别晚了！	Bié wǎn le!	Ne sois pas en retard !	Don't be late!	
zuofan	ami	你在做什么？	Nǐ zài zuò shénme?	Tu fais quoi ?	What are you doing?	
zuofan	juste	我在做饭。	Wǒ zài zuòfàn.	Je fais à manger.	I'm cooking.	
zuofan	faux	在家。	Zài jiā.	À la maison.	At home.	contresens
zuofan	faux	牛奶很好喝。	Niúnǎi hěn hǎohē.	Le lait, c'est bon.	Milk tastes good.	hors-sujet
zuofan	ami	做什么饭？	Zuò shénme fàn?	Tu fais quoi à manger ?	What are you making?	
zuofan	juste	米饭和鸡蛋。	Mǐfàn hé jīdàn.	Du riz et des œufs.	Rice and eggs.	
zuofan	faux	晚上六点。	Wǎnshang liù diǎn.	Six heures du soir.	Six in the evening.	contresens
zuofan	faux	我在医院。	Wǒ zài yīyuàn.	Je suis à l'hôpital.	I'm at the hospital.	hors-sujet
zuofan	ami	我也饿了！	Wǒ yě è le!	Moi aussi, j'ai faim !	I'm hungry too!	
zuofan	juste	来我家吃吧！	Lái wǒ jiā chī ba!	Viens manger chez moi !	Come and eat at my place!	
zuofan	faux	你不饿？	Nǐ bù è?	Tu n'as pas faim ?	You're not hungry?	contresens
zuofan	faux	考汉语。	Kǎo Hànyǔ.	Un examen de chinois.	A Chinese exam.	hors-sujet
daqiu	ami	下午去打球吗？	Xiàwǔ qù dǎqiú ma?	On va jouer au ballon cet après-midi ?	Want to play ball this afternoon?	
daqiu	juste	好！在学校吗？	Hǎo! Zài xuéxiào ma?	D'accord ! À l'école ?	OK! At school?	
daqiu	faux	好！去看书。	Hǎo! Qù kàn shū.	D'accord ! On va lire.	OK! Let's go and read.	contresens
daqiu	faux	牛奶和鸡蛋。	Niúnǎi hé jīdàn.	Du lait et des œufs.	Milk and eggs.	hors-sujet
daqiu	ami	对，三点在学校门口等你。	Duì, sān diǎn zài xuéxiào ménkǒu děng nǐ.	Oui, je t'attends devant l'école à trois heures.	Yes, I'll wait for you at the school gate at three.	
daqiu	juste	好，三点见！	Hǎo, sān diǎn jiàn!	D'accord, à trois heures !	OK, see you at three!	
daqiu	faux	好，我三点在家等你。	Hǎo, wǒ sān diǎn zài jiā děng nǐ.	D'accord, je t'attends chez moi à trois heures.	OK, I'll wait for you at my place at three.	contresens
daqiu	faux	我在医院。	Wǒ zài yīyuàn.	Je suis à l'hôpital.	I'm at the hospital.	hors-sujet
daqiu	fin	别忘了！	Bié wàng le!	N'oublie pas !	Don't forget!	
niunai	ami	我去商店，你要什么？	Wǒ qù shāngdiàn, nǐ yào shénme?	Je vais au magasin, tu veux quelque chose ?	I'm going to the shop, do you want anything?	
niunai	juste	给我买牛奶，谢谢！	Gěi wǒ mǎi niúnǎi, xièxie!	Prends-moi du lait, merci !	Get me some milk, thanks!	
niunai	faux	我在商店。	Wǒ zài shāngdiàn.	Je suis au magasin.	I'm at the shop.	contresens
niunai	faux	我哥哥二十岁。	Wǒ gēge èrshí suì.	Mon grand frère a vingt ans.	My older brother is twenty.	hors-sujet
niunai	ami	牛奶，还要什么？	Niúnǎi, hái yào shénme?	Du lait, et quoi d'autre ?	Milk, and what else?	
niunai	juste	还要一些鸡蛋。	Hái yào yīxiē jīdàn.	Des œufs aussi.	Some eggs too.	
niunai	faux	不要牛奶。	Bù yào niúnǎi.	Pas de lait.	No milk.	contresens
niunai	faux	坐车来，不远。	Zuò chē lái, bù yuǎn.	Viens en bus, ce n'est pas loin.	Take the bus, it's not far.	hors-sujet
niunai	fin	好，牛奶和鸡蛋！	Hǎo, niúnǎi hé jīdàn!	D'accord, du lait et des œufs !	OK, milk and eggs!	
jieshao	ami	我给你介绍一个朋友。	Wǒ gěi nǐ jièshào yī ge péngyou.	Je vais te présenter un ami.	Let me introduce you to a friend.	
jieshao	juste	好！他是谁？	Hǎo! Tā shì shéi?	D'accord ! C'est qui ?	OK! Who is he?	
jieshao	faux	你给我买书？	Nǐ gěi wǒ mǎi shū?	Tu m'achètes un livre ?	You're buying me a book?	contresens
jieshao	faux	三点见！	Sān diǎn jiàn!	À trois heures !	See you at three!	hors-sujet
jieshao	ami	他是我哥哥的同学，也在学汉语。	Tā shì wǒ gēge de tóngxué, yě zài xué Hànyǔ.	C'est un camarade de classe de mon frère, il apprend aussi le chinois.	He's my brother's classmate, he's learning Chinese too.	
jieshao	juste	太好了，我想认识他！	Tài hǎo le, wǒ xiǎng rènshi tā!	Super, j'aimerais le rencontrer !	Great, I'd like to meet him!	
jieshao	faux	他是你哥哥？	Tā shì nǐ gēge?	C'est ton frère ?	He's your brother?	contresens
jieshao	faux	我住在北京东边。	Wǒ zhù zài Běijīng dōngbian.	J'habite dans l'est de Pékin.	I live in the east of Beijing.	hors-sujet
shuijiao	ami	你怎么还没睡觉？	Nǐ zěnme hái méi shuìjiào?	Pourquoi tu ne dors pas encore ?	Why aren't you asleep yet?	
shuijiao	juste	我在看书，明天有考试。	Wǒ zài kàn shū, míngtiān yǒu kǎoshì.	Je révise, j'ai un examen demain.	I'm studying, I've got an exam tomorrow.	
shuijiao	faux	我昨天睡觉了。	Wǒ zuótiān shuìjiào le.	J'ai dormi hier.	I slept yesterday.	contresens
shuijiao	faux	一块钱一个。	Yī kuài qián yī ge.	Un yuan pièce.	One yuan each.	hors-sujet
shuijiao	ami	考什么？	Kǎo shénme?	Un examen de quoi ?	An exam in what?	
shuijiao	juste	考汉语。	Kǎo Hànyǔ.	De chinois.	Chinese.	
shuijiao	faux	明天上午。	Míngtiān shàngwǔ.	Demain matin.	Tomorrow morning.	contresens
shuijiao	faux	我家有四口人。	Wǒ jiā yǒu sì kǒu rén.	Nous sommes quatre dans ma famille.	There are four of us in my family.	hors-sujet
shuijiao	ami	别看太晚，早点睡！	Bié kàn tài wǎn, zǎo diǎn shuì!	Ne veille pas trop tard, couche-toi tôt !	Don't stay up too late, get to bed early!	
shuijiao	juste	好，我现在睡。	Hǎo, wǒ xiànzài shuì.	D'accord, je vais me coucher.	OK, I'm going to bed now.	
shuijiao	faux	好，我现在起床。	Hǎo, wǒ xiànzài qǐchuáng.	D'accord, je me lève.	OK, I'm getting up now.	contresens
shuijiao	faux	给我买牛奶。	Gěi wǒ mǎi niúnǎi.	Prends-moi du lait.	Get me some milk.	hors-sujet
yiyuan	ami	我在医院。	Wǒ zài yīyuàn.	Je suis à l'hôpital.	I'm at the hospital.	
yiyuan	juste	你怎么了？病了吗？	Nǐ zěnme le? Bìng le ma?	Qu'est-ce qui t'arrive ? Tu es malade ?	What happened? Are you ill?	
yiyuan	faux	你在学校？	Nǐ zài xuéxiào?	Tu es à l'école ?	You're at school?	contresens
yiyuan	faux	我想喝茶。	Wǒ xiǎng hē chá.	J'ai envie d'un thé.	I feel like some tea.	hors-sujet
yiyuan	ami	不是我，是我妈妈。	Bù shì wǒ, shì wǒ māma.	Pas moi, c'est ma mère.	Not me, it's my mum.	
yiyuan	juste	你妈妈怎么样了？	Nǐ māma zěnmeyàng le?	Comment va ta mère ?	How's your mum?	
yiyuan	faux	你爸爸怎么样了？	Nǐ bàba zěnmeyàng le?	Comment va ton père ?	How's your dad?	contresens
yiyuan	faux	我在看电影。	Wǒ zài kàn diànyǐng.	Je regarde un film.	I'm watching a film.	hors-sujet
yiyuan	ami	她好多了，明天回家。	Tā hǎo duō le, míngtiān huí jiā.	Elle va beaucoup mieux, elle rentre demain.	She's much better, she's going home tomorrow.	
yiyuan	juste	太好了！	Tài hǎo le!	Tant mieux !	That's great!	
yiyuan	faux	她今天回家？	Tā jīntiān huí jiā?	Elle rentre aujourd'hui ?	She's going home today?	contresens
yiyuan	faux	考汉语。	Kǎo Hànyǔ.	Un examen de chinois.	A Chinese exam.	hors-sujet
yifu	ami	明天很冷，多穿衣服！	Míngtiān hěn lěng, duō chuān yīfu!	Demain il fera très froid, couvre-toi bien !	It'll be very cold tomorrow, wrap up warm!	
yifu	juste	好，谢谢！你也是。	Hǎo, xièxie! Nǐ yě shì.	D'accord, merci ! Toi aussi.	OK, thanks! You too.	
yifu	faux	明天很热？	Míngtiān hěn rè?	Il fera chaud demain ?	Hot tomorrow?	contresens
yifu	faux	汉语课！	Hànyǔ kè!	Le cours de chinois !	Chinese class!	hors-sujet
yifu	ami	我明天去买新衣服，你来吗？	Wǒ míngtiān qù mǎi xīn yīfu, nǐ lái ma?	Demain je vais acheter des vêtements neufs, tu viens ?	I'm buying new clothes tomorrow, want to come?	
yifu	juste	来！我也想买衣服。	Lái! Wǒ yě xiǎng mǎi yīfu.	Je viens ! Moi aussi, je veux des vêtements.	I'm in! I want to buy clothes too.	
yifu	faux	我也想买书。	Wǒ yě xiǎng mǎi shū.	Moi aussi, je veux acheter des livres.	I want to buy books too.	contresens
yifu	faux	我在医院。	Wǒ zài yīyuàn.	Je suis à l'hôpital.	I'm at the hospital.	hors-sujet
